SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000151	1.22802381726883	0.989263393468573	1.30809927502443	1.07287122717581	1.60968847392498	1.54871564244236	0.984177322660479	1.12894403711	1.0580116925619	1.34327574922284
ENSMMUG00000000152	5.37788002589982	5.24117581624283	5.41853209864149	5.29820033537488	5.15497205877124	5.33212222616313	5.21599162619134	4.97497937466727	5.23939146687187	5.21054899656758
ENSMMUG00000000153	4.01062326431131	3.67047727466584	3.91120808620347	4.22374262063691	3.7077110952546	3.93231483941901	3.62198063299897	4.02389402989805	3.83944280123307	3.67295753242231
ENSMMUG00000000156	6.98097341738193	7.20961103078206	7.06050790572854	6.88209904707602	7.21996163007027	7.2353230818531	6.98584563968841	7.10497307615456	7.12949108148499	6.95049302706516
ENSMMUG00000000158	4.26806119306208	3.98468800539749	4.42084424447334	3.8670523607338	3.87979801289421	3.99120920245989	4.12975831859441	3.95791619420793	3.5212662585858	3.65677331445831
ENSMMUG00000000163	1.99585531307572	1.22098374079209	1.88626820617342	2.19124431981971	2.1302872152174	1.95198768149383	1.89342340770052	1.49428270603117	2.0377575421472	2.07796624020498
ENSMMUG00000000164	7.69518324550444	7.87525688570526	7.6355966805296	7.41296208774668	7.51455911694335	7.38224640221648	7.69118715593628	7.71780162222519	7.75042321065313	7.72735845071321
ENSMMUG00000000165	7.07695238362887	7.06432833002889	6.80544243719183	7.0198837559889	7.19900278944674	7.56166068712189	7.03038530197148	6.8437418179142	7.16457819352603	7.10093190451553
ENSMMUG00000000166	7.35444583698795	7.69965652505718	7.43798955919942	7.62231388023224	7.45377846258622	7.50435583237641	7.34860641079717	7.31082466470156	7.09406959888177	7.32880891868922
ENSMMUG00000000167	5.72606251133658	5.98095573286287	5.95113658207839	6.54248676318758	5.68801220948827	5.81356869620548	5.25093955444073	5.77758587284341	5.64029439384767	5.97228572504573
ENSMMUG00000000168	6.70504127116122	7.05077004546295	7.04284530892157	6.78640643649151	7.15173873465559	7.02994588181167	7.20527477907713	7.61262795261231	7.02303531165258	6.79742806986683
ENSMMUG00000000169	6.81994320287638	6.95539981442706	6.90118819049848	6.85395918236754	6.95455116786763	6.94142693317275	6.91374283651459	6.77716572539545	6.91384571473846	7.04724942144312
ENSMMUG00000000171	6.64457402567945	6.80586562280119	6.62222641278207	7.1229707614021	6.69459935855552	6.90168903804175	6.4788663141567	6.62099207847376	6.60981660950786	6.89179769485212
ENSMMUG00000000172	3.56863595724183	3.42417885340765	3.02507804173671	3.4168292785764	3.20054115857525	3.36044881381232	3.2419482365477	3.63786438467344	2.98244990213435	3.54413176700127
ENSMMUG00000000173	5.28115037497586	4.96596016968696	4.97924536183729	5.30656331533515	4.97289396240802	5.24895676696123	4.82004530776101	4.99862369162559	4.9980349532305	5.34398736717091
ENSMMUG00000000180	3.51791506068668	3.29063175375242	3.34351151587724	2.94768021550432	4.1554467119897	3.23454330433476	3.46571726136211	3.51554655737929	2.99858729214159	3.85832029963627
ENSMMUG00000000181	3.86537900082335	3.77030780187921	4.15446847447215	3.23504148861709	3.55134724634487	3.24238533485272	3.78275156071184	3.32761831279254	3.78073979353877	4.32947796839238
ENSMMUG00000000182	4.17795275495033	4.49305336861003	4.61497785235549	4.07682890105178	4.53238386873474	4.30080877236687	4.37786689397209	4.59622622257034	4.27323480492873	4.40656756483231
ENSMMUG00000000183	5.93618106166728	5.52000475746279	6.06411294923881	5.76777694476852	5.85587078613044	5.78316772387733	5.76577242552087	5.72799974859882	5.81191656900998	5.88178311034562
ENSMMUG00000000184	4.30393221403754	4.25359109041555	4.18659722760971	4.20038566090791	3.9803467494235	4.2521797781345	3.9294931202529	4.20937675885511	4.09414007213762	4.28019769913918
ENSMMUG00000000185	4.28141074053383	4.52197859323683	4.53307069885996	4.12785181992734	4.50207230049958	3.71023619308114	4.32452553830597	4.02622979690346	4.39889489246384	4.36924965811022
ENSMMUG00000000186	6.4286919697493	6.22775794816505	6.30734348378888	5.94427316930777	6.40118653716043	6.27401920910975	6.38755236311155	6.44281069405012	6.33867582477719	6.49070935039149
ENSMMUG00000000187	4.32220538950314	4.21612101391645	4.74380128585787	4.16536002615002	4.08262671893884	4.39180964476025	4.53325146285029	4.66606368594266	4.39475780915797	4.29077125980859
ENSMMUG00000000188	7.43305809330445	7.34118391125711	7.36747578095607	7.75077033863012	7.38148334822368	7.57179419104886	6.91670500416064	7.38374171857808	7.37854254597815	7.35025720891269
ENSMMUG00000000190	4.07186498792108	4.17560929677374	3.67490935354025	4.14339746555964	3.97945040141726	4.21445593798382	3.87956105848975	3.95307072520218	4.13755710059983	4.04163358625751
ENSMMUG00000000192	6.92924074213431	7.01944349708034	6.94915088194017	6.61196086459447	6.82631507486747	6.88206858731623	7.14918644013185	7.11766812274241	6.78027877183039	6.50466798928778
ENSMMUG00000000194	6.80285834308638	6.57425525053496	6.96454436921846	6.8877016225111	6.6039248891731	6.96999625168834	6.67417708953748	6.2231176101296	6.77126742191608	7.26252912759569
ENSMMUG00000000195	5.98115646023704	6.43719753553372	6.44638196167914	6.64870291177492	6.57936519937567	6.57466230669603	6.64340765951529	5.70264899080085	6.76064949140149	6.85476675154236
ENSMMUG00000000196	0.800272857405158	0.719509186719513	0.681494677431004	1.19791406064643	0.659971846010389	0.383707573765154	2.01627579811321	0.718143334840182	0.160881481852293	1.98757158783824
ENSMMUG00000000198	4.32558437435387	4.32810058183792	4.62937418189069	4.24693959242488	4.57120380690214	4.50246732563191	4.64172620500956	4.4538621974711	4.43177519973749	4.22241655587925
ENSMMUG00000000203	2.56212046157889	2.14924835716841	1.28588180933215	2.26073216547222	1.72736873113908	2.444251355459	2.45418286542444	1.37401516611377	1.71612741220779	2.69208551196788
ENSMMUG00000000204	2.16832226939393	2.28316533188764	1.83886358468595	2.22140025194704	1.56644050519686	2.2933998795306	1.63644563087701	1.42235373296415	1.93188819585104	1.96334466765387
ENSMMUG00000000205	2.64615728012916	2.62720632916794	2.32960518516996	2.18479306007701	2.78859931048385	2.29821436851771	2.47630980177362	2.2777427507694	2.34120638930704	2.52158241188927
