SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000276	4.93945860726835	5.11411096908772	5.961450215224	5.24346431341493	4.93368305226983	4.81147768682546	5.79571260239895	5.67171873123032	5.480563973842	4.46569066202494
ENSMMUG00000000277	6.24021794829993	6.31318327737773	6.3120674308757	6.20690536000242	6.42999192781166	6.24554536634329	6.34579168854736	6.36069704124025	6.17050483832432	6.51465165569225
ENSMMUG00000000278	5.90892359020611	5.59529363499018	5.41044836157228	5.72976151303398	5.41659103219165	5.56684016758093	5.55621120193545	5.75461619837975	5.67006723501009	5.69642078107298
ENSMMUG00000000284	5.46257869153582	5.45563168636152	5.57097307256649	5.64901372802887	5.6546754294258	5.54410204565091	5.47804030411507	5.48715482920922	5.52077184923962	5.15519101313557
ENSMMUG00000000286	2.6884844392527	3.36499345021492	3.46294296827879	3.08564976572144	2.53286502891355	3.1292269366637	3.13820688493605	3.92295646762422	2.95771978167857	2.88787402915114
ENSMMUG00000000289	7.32715299283388	7.59549585820491	7.74751981853737	6.97171587806408	7.31056962828942	7.09093148210633	7.6134456531706	7.64026079420925	7.54536602270883	7.31408569041483
ENSMMUG00000000290	3.08496911821454	2.79286490253745	2.88753559050733	3.50101490648111	3.36696187087387	3.87291008959624	3.61175205282322	3.10279041535337	3.16980162711434	2.78670595054191
ENSMMUG00000000291	6.22224042601702	6.33798023030874	6.43791562631602	6.12213332173289	6.31777327160483	6.14310510694566	6.23504469150252	6.19251517723092	6.37548098338302	6.6032215427575
ENSMMUG00000000292	4.40539052440923	4.68216561012885	4.49673180862318	4.71208915864395	4.11657713154195	5.26325877264314	5.10622171342684	4.46247949128174	5.1161059082541	4.6205295428172
ENSMMUG00000000293	6.55994864646572	6.79091975638896	6.79950412254165	6.41090781761462	7.15240545123486	6.50167409255293	7.04538819284232	6.92686751291297	6.78160776157984	6.66664133333934
ENSMMUG00000000296	6.85543409139849	7.01372702847878	6.89496073077729	6.89411600978105	6.42553383273448	7.20229916322619	7.13348608536205	7.09889146441082	6.95364245507556	6.42429141473697
ENSMMUG00000000297	1.28783257957481	2.1076458852016	1.39246758043766	1.50992849861667	1.72448553260366	1.1200884237917	1.55566481600035	1.67393608987765	1.26294885882639	1.3426709107576
ENSMMUG00000000300	2.09897211135791	1.32509861199448	2.06530646651845	1.52805786894563	1.52167908971473	1.69113370914708	1.66065265876033	1.01861324238242	1.78961746806758	2.52439900271051
ENSMMUG00000000302	2.02447618604439	2.21035394505862	2.13779523271422	2.10517497481583	2.15834934671951	1.44669911483237	1.99589225793287	2.03874650812843	1.73232382121078	1.77509805803902
ENSMMUG00000000306	5.6601702777605	5.5583233082409	5.64607778997967	5.67384586489634	5.60589720217887	5.74850150102371	5.80567224474622	5.79579729135673	5.65734007237533	5.65220236371972
ENSMMUG00000000307	4.52545598587628	4.22519760986433	4.25330516051136	4.18117521990249	4.45214357198054	4.54192875420894	4.27575680168455	4.18098912538477	4.47073122616652	4.0463582702645
ENSMMUG00000000308	2.2529019356949	2.08501797218648	2.19115557172183	1.98673880780315	2.5769593734752	2.02371127260622	1.99132446132913	2.53995040468115	1.91755312082677	2.22902792962918
ENSMMUG00000000312	7.10403446132901	6.9344922234646	6.78146494481214	6.6889292447422	6.92053772299706	6.8520675335917	6.75904461997627	6.77403474507291	6.81212393996055	6.98045374506254
