Geneid	SRR15024168	SRR15024173	SRR15024174	SRR15024175	SRR15024177	SRR15024178	SRR15024182	SRR15024183	SRR15024186	SRR15024188
ENSMMUG00000000498	279	205	193	221	256	156	240	267	164	158
ENSMMUG00000000500	53	49	80	100	70	81	88	65	69	106
ENSMMUG00000000504	25	13	23	13	22	21	16	38	20	17
ENSMMUG00000000505	93	65	90	82	90	91	87	66	89	107
ENSMMUG00000000506	0	0	2	3	3	0	11	5	2	1
ENSMMUG00000000507	8123	6787	6547	4894	8715	6606	8783	7714	7535	5584
ENSMMUG00000000511	1253	1089	1490	1057	1151	1218	1181	1390	1264	1026
ENSMMUG00000000512	991	810	876	649	836	673	1059	761	926	654
ENSMMUG00000000513	1143	1032	1134	1914	1092	1005	1193	884	1341	1412
ENSMMUG00000000515	347	423	615	322	299	204	616	488	426	333
ENSMMUG00000000517	59	52	46	54	95	40	68	76	39	39
ENSMMUG00000000519	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000520	6	4	1	11	10	4	7	6	13	1
ENSMMUG00000000521	459	362	437	239	454	231	458	387	360	314
ENSMMUG00000000522	978	1146	973	1292	1402	1478	1448	788	1136	1004
ENSMMUG00000000523	2454	2282	2086	2128	2705	2178	3401	1682	2665	1918
ENSMMUG00000000524	19	4	1	4	5	14	5	5	1	1
ENSMMUG00000000525	413	339	361	451	323	228	414	246	384	237
ENSMMUG00000000527	401	301	393	212	300	189	444	297	261	191
ENSMMUG00000000529	41	44	49	50	55	29	81	39	50	55
ENSMMUG00000000531	1	0	0	1	3	0	0	1	0	1
ENSMMUG00000000534	7	4	15	1	6	4	6	12	7	2
ENSMMUG00000000535	2181	1538	2028	1185	1874	1336	1954	1903	1607	997
ENSMMUG00000000539	0	0	0	1	1	0	0	0	0	0
ENSMMUG00000000540	2	11	0	5	0	2	3	7	5	1
ENSMMUG00000000541	789	619	677	924	790	549	819	820	684	635
ENSMMUG00000000544	227	1644	1758	1879	1642	1943	821	741	1598	1058
ENSMMUG00000000545	150	84	54	124	66	70	97	88	55	79
ENSMMUG00000000546	26	7	4	28	17	22	13	24	17	16
ENSMMUG00000000547	93	60	99	89	91	42	120	80	79	68
ENSMMUG00000000549	9	4	7	9	6	2	4	6	2	1
ENSMMUG00000000552	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000553	1163	866	1035	1056	910	718	982	863	957	734
ENSMMUG00000000554	62	97	101	74	79	90	124	86	114	71
ENSMMUG00000000556	40	44	57	67	93	79	99	42	108	46
ENSMMUG00000000560	605	492	588	567	571	429	675	522	495	527
ENSMMUG00000000561	0	0	2	0	0	0	0	0	0	1
ENSMMUG00000000566	0	5	0	3	0	3	2	1	3	6
ENSMMUG00000000568	11	0	7	6	4	0	9	5	0	3
ENSMMUG00000000570	0	0	0	0	0	0	0	0	1	1
ENSMMUG00000000572	131	110	200	158	240	137	144	137	168	193
ENSMMUG00000000573	1359	1044	1311	910	1292	698	1320	1141	1244	1017
ENSMMUG00000000576	55	63	80	40	90	55	60	39	53	51
ENSMMUG00000000577	518	447	462	310	373	345	463	427	411	330
ENSMMUG00000000578	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000580	0	0	0	2	1	0	1	1	1	0
ENSMMUG00000000582	1397	970	947	1289	1095	951	1185	857	1070	1071
ENSMMUG00000000583	557	478	480	383	594	487	617	577	580	319
ENSMMUG00000000586	371	260	312	279	353	283	381	262	310	254
ENSMMUG00000000588	594	659	408	596	725	611	817	648	504	656
ENSMMUG00000000589	256	297	344	333	339	333	316	173	372	365
ENSMMUG00000000590	1181	1030	1326	1258	1059	964	1096	977	1100	897
ENSMMUG00000000591	288	228	267	260	325	261	263	182	223	255
ENSMMUG00000000595	62	48	78	48	49	38	76	50	53	35
ENSMMUG00000000596	1652	1279	1363	2050	1669	1592	1556	1268	1746	1775
ENSMMUG00000000599	1532	1137	1029	1854	1286	1194	1494	847	1231	1339
ENSMMUG00000000602	3763	2406	2059	3632	2362	2107	2609	1513	1974	2742
ENSMMUG00000000603	2784	2611	2463	2821	2964	2546	3317	1819	2677	2555
ENSMMUG00000000604	1892	1293	1468	2430	1716	1438	1281	942	1333	1262
ENSMMUG00000000605	1176	867	1081	1165	965	854	1056	896	1069	1135
ENSMMUG00000000609	955	871	990	1036	999	923	1197	760	1065	840
ENSMMUG00000000610	1040	813	694	1292	542	826	1224	836	643	718
ENSMMUG00000000613	1560	1582	2000	1474	1542	1106	1998	1631	1373	1208
ENSMMUG00000000615	1660	1974	2296	2180	1536	1489	1903	1518	1813	1728
ENSMMUG00000000616	125	82	145	99	155	117	134	102	97	115
ENSMMUG00000000617	7827	5863	7104	7672	6969	5888	6997	6227	6796	6181
ENSMMUG00000000618	1865	1284	1528	1280	1318	1173	1705	1493	1433	1130
ENSMMUG00000000620	1325	1000	989	1146	876	809	1262	763	1041	859
ENSMMUG00000000623	279	205	272	225	209	208	249	250	188	157
ENSMMUG00000000625	5	6	5	5	1	0	3	1	1	6
ENSMMUG00000000628	1287	986	1053	896	1096	933	1412	1050	1119	870
ENSMMUG00000000629	25	10	11	23	19	19	17	33	19	17
ENSMMUG00000000630	25	36	26	25	29	15	36	39	34	12
ENSMMUG00000000632	2545	2490	3214	2446	2612	2159	2814	2197	2522	2083
ENSMMUG00000000634	911	602	689	1095	754	755	693	684	890	673
ENSMMUG00000000635	1077	795	1193	812	982	686	972	926	853	1013
ENSMMUG00000000637	1067	766	738	835	793	619	912	704	782	630
ENSMMUG00000000638	16	18	22	12	27	13	28	8	20	31
ENSMMUG00000000639	8594	8361	8347	6949	8030	8104	12717	11483	9764	4903
ENSMMUG00000000641	36	24	31	38	31	30	23	18	17	45
ENSMMUG00000000642	402	389	323	354	293	282	342	181	309	246
ENSMMUG00000000643	315	231	266	168	207	143	261	266	282	117
ENSMMUG00000000644	1177	966	1123	1082	1133	969	1315	1093	1126	1051
ENSMMUG00000000645	701	365	559	636	516	426	490	451	397	373
ENSMMUG00000000647	0	0	0	1	1	4	3	1	0	0
ENSMMUG00000000648	0	0	0	1	0	0	0	0	0	0
ENSMMUG00000000649	218	210	178	253	247	205	290	192	246	245
ENSMMUG00000000651	65	41	67	55	60	43	52	80	53	29
ENSMMUG00000000652	2545	2208	2552	1757	2440	1777	2637	2241	2350	1545
ENSMMUG00000000653	7842	6392	5357	6257	7087	5287	8383	6004	7439	6017
ENSMMUG00000000654	37	37	60	73	59	72	45	68	63	48
ENSMMUG00000000655	187	113	89	151	125	117	122	94	99	62
ENSMMUG00000000657	1	0	0	0	0	0	0	0	4	0
ENSMMUG00000000658	8	5	2	12	5	1	4	3	10	7
ENSMMUG00000000659	0	0	0	0	0	0	0	0	1	4
ENSMMUG00000000660	0	0	0	0	0	0	2	0	0	0
ENSMMUG00000000661	30	22	9	22	43	23	20	13	8	9
ENSMMUG00000000662	83	51	72	112	90	55	85	61	92	88
ENSMMUG00000000663	19	26	27	37	47	53	37	25	45	41
ENSMMUG00000000667	2897	1888	2242	3015	2095	1798	2202	2077	2163	2195
ENSMMUG00000000669	206	129	188	184	74	312	449	164	123	97
ENSMMUG00000000670	2508	1863	2067	2104	2015	1678	2526	2191	2019	1835
ENSMMUG00000000671	23353	16316	18632	15739	20320	14692	22922	18826	18217	14089
ENSMMUG00000000672	0	0	0	0	3	8	0	0	0	0
ENSMMUG00000000676	354	268	317	236	267	208	352	292	278	210
ENSMMUG00000000677	1509	1110	1513	1523	1317	1055	1573	1189	1328	1048
ENSMMUG00000000680	93	52	30	153	22	44	31	44	49	24
ENSMMUG00000000681	28	31	54	48	15	40	78	94	53	33
